SCRIP_CODE,KEY
51265,ADANIENT_31-May-2018_150.0_PE
51268,ADANIENT_31-May-2018_160.0_CE
51269,ADANIENT_31-May-2018_160.0_PE
51272,ADANIENT_31-May-2018_170.0_CE
51273,ADANIENT_31-May-2018_170.0_PE
51278,ADANIENT_31-May-2018_180.0_CE
51279,ADANIENT_31-May-2018_180.0_PE
51282,ADANIENT_31-May-2018_190.0_CE
51283,ADANIENT_31-May-2018_190.0_PE
41468,ADANIENT_31-May-2018_20.0_CE
41469,ADANIENT_31-May-2018_20.0_PE
51286,ADANIENT_31-May-2018_200.0_CE
51287,ADANIENT_31-May-2018_200.0_PE
51290,ADANIENT_31-May-2018_210.0_CE
51291,ADANIENT_31-May-2018_210.0_PE
51294,ADANIENT_31-May-2018_220.0_CE
51295,ADANIENT_31-May-2018_220.0_PE
51298,ADANIENT_31-May-2018_230.0_CE
51299,ADANIENT_31-May-2018_230.0_PE
51302,ADANIENT_31-May-2018_240.0_CE
51303,ADANIENT_31-May-2018_240.0_PE
51306,ADANIENT_31-May-2018_250.0_CE
51307,ADANIENT_31-May-2018_250.0_PE
37324,ADANIENT_31-May-2018_30.0_CE
37329,ADANIENT_31-May-2018_30.0_PE
40564,ADANIENT_31-May-2018_40.0_CE
40565,ADANIENT_31-May-2018_40.0_PE
37888,ADANIENT_31-May-2018_50.0_CE
37889,ADANIENT_31-May-2018_50.0_PE
57552,ADANIENT_31-May-2018_60.0_CE
57553,ADANIENT_31-May-2018_60.0_PE
57554,ADANIENT_31-May-2018_70.0_CE
57555,ADANIENT_31-May-2018_70.0_PE
45373,ADANIENT_31-May-2018_80.0_CE
45376,ADANIENT_31-May-2018_80.0_PE
38460,ADANIENT_31-May-2018_90.0_CE
38461,ADANIENT_31-May-2018_90.0_PE
45141,ADANIPORTS_26-Jul-2018_-0.01_XX
47218,ADANIPORTS_26-Jul-2018_240.0_CE
47219,ADANIPORTS_26-Jul-2018_240.0_PE
47220,ADANIPORTS_26-Jul-2018_250.0_CE
47221,ADANIPORTS_26-Jul-2018_250.0_PE
47224,ADANIPORTS_26-Jul-2018_260.0_CE
47231,ADANIPORTS_26-Jul-2018_260.0_PE
47232,ADANIPORTS_26-Jul-2018_270.0_CE
47237,ADANIPORTS_26-Jul-2018_270.0_PE
47238,ADANIPORTS_26-Jul-2018_280.0_CE
47245,ADANIPORTS_26-Jul-2018_280.0_PE
47246,ADANIPORTS_26-Jul-2018_290.0_CE
47251,ADANIPORTS_26-Jul-2018_290.0_PE
47252,ADANIPORTS_26-Jul-2018_300.0_CE
47260,ADANIPORTS_26-Jul-2018_300.0_PE
47261,ADANIPORTS_26-Jul-2018_310.0_CE
47264,ADANIPORTS_26-Jul-2018_310.0_PE
47265,ADANIPORTS_26-Jul-2018_320.0_CE
47268,ADANIPORTS_26-Jul-2018_320.0_PE
47270,ADANIPORTS_26-Jul-2018_330.0_CE
47289,ADANIPORTS_26-Jul-2018_330.0_PE
47290,ADANIPORTS_26-Jul-2018_340.0_CE
47291,ADANIPORTS_26-Jul-2018_340.0_PE
47292,ADANIPORTS_26-Jul-2018_350.0_CE
47293,ADANIPORTS_26-Jul-2018_350.0_PE
47294,ADANIPORTS_26-Jul-2018_360.0_CE
47301,ADANIPORTS_26-Jul-2018_360.0_PE
47302,ADANIPORTS_26-Jul-2018_370.0_CE
47341,ADANIPORTS_26-Jul-2018_370.0_PE
47345,ADANIPORTS_26-Jul-2018_380.0_CE
47350,ADANIPORTS_26-Jul-2018_380.0_PE
47351,ADANIPORTS_26-Jul-2018_390.0_CE
47352,ADANIPORTS_26-Jul-2018_390.0_PE
47353,ADANIPORTS_26-Jul-2018_400.0_CE
47356,ADANIPORTS_26-Jul-2018_400.0_PE
47357,ADANIPORTS_26-Jul-2018_410.0_CE
