,KEY,OI,CLOSE,EXPIRY_DT,SCRIP_CODE
233,NIFTYCPSE_24-May-2018_2575.0_CE,0.0,27.4,24-May-2018,54091.0
234,NIFTYCPSE_24-May-2018_2575.0_PE,0.0,155.1,24-May-2018,54093.0
235,NIFTYCPSE_24-May-2018_2600.0_CE,0.0,18.35,24-May-2018,40184.0
236,NIFTYCPSE_24-May-2018_2600.0_PE,0.0,147.5,24-May-2018,40185.0
237,NIFTYCPSE_24-May-2018_2225.0_CE,0.0,206.05,24-May-2018,45418.0
238,NIFTYCPSE_24-May-2018_2225.0_PE,0.0,18.8,24-May-2018,45419.0
239,NIFTYCPSE_24-May-2018_2250.0_CE,0.0,186.4,24-May-2018,45420.0
240,NIFTYCPSE_24-May-2018_2250.0_PE,0.0,23.85,24-May-2018,45421.0
241,NIFTYCPSE_24-May-2018_2275.0_CE,0.0,167.75,24-May-2018,45422.0
242,NIFTYCPSE_24-May-2018_2275.0_PE,0.0,29.85,24-May-2018,45424.0
243,NIFTYCPSE_24-May-2018_2325.0_CE,0.0,133.3,24-May-2018,45439.0
244,BANKNIFTY_24-May-2018_23000.0_PE,0.0,203.7,24-May-2018,45054.0
245,BANKNIFTY_24-May-2018_23100.0_CE,0.0,1553.25,24-May-2018,45055.0
246,BANKNIFTY_24-May-2018_23100.0_PE,0.0,226.05,24-May-2018,45063.0
247,BANKNIFTY_24-May-2018_23200.0_CE,0.0,1478.6,24-May-2018,45064.0
248,BANKNIFTY_24-May-2018_23200.0_PE,0.0,250.15,24-May-2018,45066.0
249,BANKNIFTY_24-May-2018_23300.0_CE,0.0,1406.5,24-May-2018,45067.0
250,BANKNIFTY_24-May-2018_23300.0_PE,0.0,276.85,24-May-2018,45074.0
251,BANKNIFTY_24-May-2018_23400.0_CE,0.0,1334.55,24-May-2018,45075.0
252,BANKNIFTY_24-May-2018_23400.0_PE,0.0,303.65,24-May-2018,45076.0
253,BANKNIFTY_24-May-2018_23500.0_CE,0.0,1265.55,24-May-2018,45077.0
254,BANKNIFTY_24-May-2018_23500.0_PE,0.0,333.45,24-May-2018,45080.0
255,BANKNIFTY_24-May-2018_23600.0_CE,0.0,1198.6,24-May-2018,45081.0
256,BANKNIFTY_24-May-2018_23600.0_PE,0.0,365.2,24-May-2018,45086.0
257,BANKNIFTY_24-May-2018_23700.0_CE,0.0,1133.65,24-May-2018,45090.0
258,BANKNIFTY_24-May-2018_23700.0_PE,0.0,399.05,24-May-2018,45093.0
259,BANKNIFTY_24-May-2018_23800.0_CE,0.0,1070.75,24-May-2018,45094.0
260,BANKNIFTY_24-May-2018_23800.0_PE,0.0,434.95,24-May-2018,45095.0
261,BANKNIFTY_24-May-2018_23900.0_CE,0.0,1010.0,24-May-2018,45096.0
262,BANKNIFTY_24-May-2018_23900.0_PE,0.0,472.95,24-May-2018,45114.0
263,BANKNIFTY_24-May-2018_24000.0_CE,0.0,951.4,24-May-2018,45116.0
264,BANKNIFTY_24-May-2018_24000.0_PE,0.0,513.1,24-May-2018,45123.0
265,BANKNIFTY_24-May-2018_24100.0_CE,0.0,894.95,24-May-2018,45126.0
266,BANKNIFTY_24-May-2018_24100.0_PE,0.0,555.4,24-May-2018,45135.0
267,BANKNIFTY_24-May-2018_24200.0_CE,0.0,840.65,24-May-2018,45136.0
268,BANKNIFTY_24-May-2018_24200.0_PE,0.0,599.85,24-May-2018,45147.0
269,BANKNIFTY_24-May-2018_24300.0_CE,0.0,788.5,24-May-2018,45152.0
270,BANKNIFTY_24-May-2018_25300.0_CE,2840.0,750.5,24-May-2018,45259.0
271,BANKNIFTY_24-May-2018_25300.0_PE,3880.0,32.3,24-May-2018,45387.0
272,BANKNIFTY_24-May-2018_25400.0_CE,0.0,354.0,24-May-2018,45389.0
273,BANKNIFTY_24-May-2018_25400.0_PE,1520.0,38.65,24-May-2018,45407.0
274,BANKNIFTY_24-May-2018_25500.0_CE,520.0,700.0,24-May-2018,45408.0
275,BANKNIFTY_24-May-2018_25500.0_PE,54120.0,49.5,24-May-2018,45410.0
276,BANKNIFTY_24-May-2018_25600.0_CE,7200.0,775.25,24-May-2018,45411.0
277,BANKNIFTY_24-May-2018_25600.0_PE,15680.0,60.1,24-May-2018,45412.0
278,BANKNIFTY_24-May-2018_25700.0_CE,0.0,276.95,24-May-2018,45413.0
279,BANKNIFTY_24-May-2018_25700.0_PE,21800.0,76.35,24-May-2018,45417.0
280,BANKNIFTY_24-May-2018_25800.0_CE,0.0,392.95,24-May-2018,46605.0
281,BANKNIFTY_24-May-2018_25800.0_PE,42880.0,94.9,24-May-2018,46606.0
282,BANKNIFTY_24-May-2018_25900.0_CE,80.0,950.0,24-May-2018,46953.0
283,BANKNIFTY_24-May-2018_25900.0_PE,19960.0,119.35,24-May-2018,46954.0
